lat,lng,alt,date,device,os,version,bgid
40.9753570557,-73.7160568237,23.9474582672,2017-02-03 02:03:44,"iPhone8,2",10.2,1.1,361190084032
40.922416687,-73.775062561,18.9909229279,2017-02-03 02:08:00,"iPhone8,2",10.2,1.1,361190065003
40.874835968,-73.8348617554,15.4035358429,2017-02-03 02:14:24,"iPhone8,2",10.2,1.1,360050462023
40.8264846802,-73.8561706543,9.31517314911,2017-02-03 02:18:40,"iPhone8,2",10.2,1.1,360050098005
40.7976379395,-73.9199676514,20.6587924957,2017-02-03 02:22:56,"iPhone8,2",10.2,1.1,360610240001
40.7624893188,-73.9022598267,5.92013549805,2017-02-03 02:29:20,"iPhone8,2",10.2,1.1,360810297001
40.7280006409,-73.9288253784,39.8658752441,2017-02-03 02:33:36,"iPhone8,2",10.2,1.1,360810199002
40.6960525513,-73.983833313,15.2113046646,2017-02-03 02:42:08,"iPhone8,2",10.2,1.1,360470015001
40.7154083252,-73.9931945801,15.2113046646,2017-02-03 02:46:24,"iPhone8,2",10.2,1.1,360610016003
40.7097320557,-73.9922027588,13.1704397202,2017-02-03 02:50:40,"iPhone8,2",10.2,1.1,360610008006
40.6795463562,-74.0043563843,13.9006061554,2017-02-03 02:59:12,"iPhone8,2",10.2,1.1,360470059002
40.6642379761,-73.9919128418,31.2781524658,2017-02-03 03:05:36,"iPhone8,2",10.2,1.1,360470143001
40.664226532,-73.991569519,30.9006214142,2017-02-03 12:45:52,"iPhone8,2",10.2,1.1,360470143001
40.6822662354,-73.9909210205,26.9906196594,2017-02-03 13:02:56,"iPhone8,2",10.2,1.1,360470075001
40.6808662415,-73.9965896606,30.205493927,2017-02-03 14:26:08,"iPhone8,2",10.2,1.1,360470077004
40.6763076782,-73.998664856,31.9566230774,2017-02-03 14:34:40,"iPhone8,2",10.2,1.1,360470077003
40.672203064,-73.992767334,28.5381736755,2017-02-03 15:08:48,"iPhone8,2",10.2,1.1,360470121002
40.6685409546,-73.9869003296,32.8123130798,2017-02-03 15:21:36,"iPhone8,2",10.2,1.1,360470139003
40.66431427,-73.9915771484,30.8465232849,2017-02-03 15:42:56,"iPhone8,2",10.2,1.1,360470143001
40.6685066223,-73.9964065552,9.72621536255,2017-02-04 16:34:08,"iPhone8,2",10.2,1.1,360470018001
40.7008552551,-73.9982681274,5.90879011154,2017-02-04 16:42:40,"iPhone8,2",10.2,1.1,360610007002
40.7398529053,-73.8965148926,13.0882997513,2017-02-04 16:53:20,"iPhone8,2",10.2,1.1,360810243004
40.7496185303,-73.8864135742,22.3886508942,2017-02-04 16:57:36,"iPhone8,2",10.2,1.1,360810285003
40.7487754822,-73.8931274414,23,2017-02-04 17:08:16,"iPhone8,2",10.2,1.1,360810291004
40.7523345947,-73.8852844238,21.21616745,2017-02-04 18:03:44,"iPhone8,2",10.2,1.1,360810283002
40.7489967346,-73.8912506104,23.2149562836,2017-02-04 18:42:08,"iPhone8,2",10.2,1.1,360810289003
40.7492485046,-73.8974075317,14.2449636459,2017-02-04 20:33:04,"iPhone8,2",10.2,1.1,360810293001
40.7522697449,-73.9285583496,8.07975959778,2017-02-04 20:37:20,"iPhone8,2",10.2,1.1,360810055001
40.7542152405,-73.9643478394,8.93507766724,2017-02-04 20:45:52,"iPhone8,2",10.2,1.1,360610086033
40.7588005066,-73.9723510742,24.9481182098,2017-02-04 21:00:48,"iPhone8,2",10.2,1.1,360610100001
40.7612533569,-73.9775085449,25,2017-02-04 21:13:36,"iPhone8,2",10.2,1.1,360610104001
40.7622718811,-73.9861755371,22.2949008942,2017-02-04 22:32:32,"iPhone8,2",10.2,1.1,360610127005
